,,green arch,yellow banana arch,cabbage black sphere,orange carrot cylinder,white corn cylinder,blue cube,red cuboid,green cucumber cylinder,blue cylinder,black eggplant cylinder,yellow lemon sphere,green lime sphere,orange sphere,purple plum sphere,brown potato sphere,yellow semicylinder,red tomato sphere,green triangle
halfcylindrical,rgb,7.8427e-06,0.00295933,0.025539,1.0608e-05,1.62247e-05,0.000474815,0.0958201,0.0335695,0.000170043,0.0248794,0.00851827,0.0103625,0.0255961,0.00893813,0.000240784,0.00449799,0.150717,0.00881389
halfcylindrical,shape,0.0109719,0.00943695,0.000514186,0.00745009,0.000228892,1.33836e-06,0.000867123,0.00160088,0.0142006,0.215535,0.000138377,1.67987e-12,1.32194e-11,2.3942e-06,8.41703e-06,1.9876e-06,2.87201e-05,0.0121232
halfcylindrical,object,0.000341273,0.0109262,0.000717931,0.0083542,0.00199911,1.42935e-07,0.00752788,0.00221785,0.00559159,0.235108,0.000455007,8.65633e-12,1.9123e-10,3.72685e-06,1.80929e-05,7.1522e-06,0.00023561,0.00708499
head,rgb,0.0156062,0.00567118,0.27581,0.0846861,0.0612589,0.529462,0.655005,0.0686351,0.495551,0.200408,0.00202359,0.00412958,0.0380807,0.397426,0.0230799,0.00102465,0.343348,0.0537345
head,shape,0.219344,2.74052e-06,1,7.29747e-06,4.60501e-12,0.000111048,0.000140289,1.93846e-05,6.87136e-06,8.61731e-08,3.25303e-15,5.8683e-10,3.05257e-11,0.0018297,6.92768e-12,2.2524e-12,2.28242e-06,8.39785e-06
head,object,0.217598,1.94364e-06,1,5.94236e-06,6.3876e-12,0.000130483,0.000106406,2.38475e-05,6.97725e-06,1.00724e-07,3.51634e-15,6.87677e-10,3.32347e-11,0.00168955,7.74938e-12,2.32721e-12,2.27135e-06,8.85553e-06
hemisphere,rgb,0.00452727,0.00114801,0.0712889,0.00180139,0.00490368,0.138883,0.0460285,0.0303638,0.111312,0.054755,0.000596083,0.00309618,0.00578072,0.0540734,0.00176717,0.00047988,0.0416886,0.0261072
hemisphere,shape,0.130133,0.340647,0.000175963,0.20294,0.000354808,2.43202e-07,0.00765587,0.00608463,0.318967,0.339044,0.00095105,3.48426e-13,2.81949e-13,1.57517e-07,0.000485436,1.41556e-10,0.0617536,0.478977
hemisphere,object,0.102529,0.296786,0.000158132,0.0831557,0.00402013,1.41011e-06,0.0022801,0.00571691,0.445342,0.28271,0.000272716,9.22061e-14,6.17769e-13,5.61391e-07,0.000987407,5.44221e-10,0.0515303,0.25005
isgreen,rgb,0.999792,0.00083587,0.0406872,9.01435e-09,0.00141659,0.930693,3.61129e-13,0.698714,0.935679,0.0482791,1.17356e-05,0.906949,6.4381e-07,5.18368e-05,4.65217e-06,0.00268502,1.29719e-08,0.982897
isgreen,shape,0.0182123,0.094084,1.89893e-05,1.26647e-05,0.00207392,4.45089e-06,0.000149475,0.0157949,0.835982,0.114651,1.21617e-07,0.00017103,1.36277e-05,0.0166055,0.000824954,5.8847e-09,0.000173245,0.164032
isgreen,object,0.0200199,0.01488,2.37336e-05,1.24693e-06,0.00173567,7.49064e-05,1.63511e-05,0.0282772,0.944036,0.104452,8.00455e-08,0.000393163,7.41253e-06,0.012058,0.000705787,2.24968e-08,6.984e-05,0.245296
isyellow,rgb,0.000196859,0.524306,2.60121e-06,0.00337806,0.000929597,1.08654e-08,8.43884e-05,0.000149803,1.27357e-08,2.00519e-05,0.988786,0.19506,0.0546872,5.47861e-06,0.0487926,0.976919,0.000147317,5.95276e-05
isyellow,shape,1.3881e-05,0.310826,1.16577e-11,0.0346787,1.19195e-08,7.27698e-08,4.5475e-05,0.0037777,0.0168081,2.02662e-05,8.8145e-05,4.26205e-09,2.5202e-08,3.11403e-09,0.00141276,3.28109e-12,1.48433e-05,0.349741
isyellow,object,2.39146e-05,0.301066,3.17163e-11,0.0190296,1.53147e-08,1.25473e-07,4.30943e-05,0.00478435,0.020406,2.37111e-05,0.00011439,1.61717e-08,3.97464e-08,6.31346e-09,0.0014804,6.33452e-12,1.41185e-05,0.387655
lemon,rgb,1.50609e-17,0.0479378,9.01266e-07,5.52766e-13,3.53834e-16,2.8807e-16,0.0482036,0.000236516,4.40669e-18,4.48611e-06,0.97943,0.0247082,0.25573,6.76697e-08,2.32736e-07,0.720231,0.248824,8.55436e-07
lemon,shape,9.11393e-06,4.22724e-05,1.53934e-13,5.4885e-06,7.61653e-08,4.89564e-06,6.75677e-06,1.10251e-05,0.000166445,1.11537e-06,0.922992,0.305261,0.720908,8.13918e-07,0.646125,0.0582659,0.110188,1.25802e-05
lemon,object,4.4419e-06,0.000151929,4.13313e-13,4.054e-06,5.06923e-08,2.27849e-06,1.02475e-05,2.15493e-05,5.65811e-05,1.1521e-06,0.937805,0.375737,0.741026,1.12109e-06,0.622345,0.0937288,0.113081,2.08895e-05
lime,rgb,3.21753e-09,0.14915,0.023282,2.84645e-15,5.0956e-13,2.10062e-08,3.99056e-07,0.660445,3.90541e-10,0.0711508,0.358024,0.99095,0.0120913,6.34077e-06,1.97101e-07,0.515845,0.00655455,0.382307
lime,shape,0.207226,1.90185e-06,0.596543,3.06667e-06,4.57551e-07,0.395026,0.00167178,3.90437e-05,3.63621e-05,1.93281e-05,9.51779e-07,0.993138,0.270997,0.994582,8.32949e-10,1.13087e-08,0.0178221,4.28055e-05
lime,object,0.19151,1.16237e-06,0.559735,9.08548e-07,5.84641e-07,0.388072,0.000753448,5.76322e-05,3.78859e-05,2.62271e-05,2.01409e-06,0.99561,0.265547,0.992639,1.05498e-09,2.41377e-08,0.0164407,5.46353e-05
orange,rgb,0.718578,0.993046,0.616246,0.997363,0.960271,0.197564,0.992181,0.675902,0.226912,0.670534,0.99824,0.935435,0.990268,0.859905,0.994115,0.996647,0.966397,0.568498
orange,shape,2.35933e-08,0.116314,7.16687e-13,0.776485,0.0141776,0.00864198,8.09757e-05,0.00268984,3.44179e-06,0.000167203,0.00466411,1.37657e-05,0.999787,0.000191981,0.000295117,4.32653e-05,0.996246,0.195579
orange,object,3.5961e-08,0.0743325,5.61377e-12,0.776006,0.00450864,0.00222409,0.000507522,0.00149345,1.32749e-06,0.000106896,0.00513905,1.29403e-05,0.999782,0.000197306,0.000301175,7.71933e-05,0.996703,0.144403
plantain,rgb,0.244155,0.203986,0.73613,1.51811e-08,7.15522e-05,0.297774,3.97485e-06,0.985783,0.107131,0.722855,0.0989723,0.997212,0.0213813,0.0175738,0.000341502,0.48211,0.00880162,0.992501
plantain,shape,0.00630449,0.220523,9.37438e-05,0.111643,6.412e-07,3.66293e-08,5.83537e-08,0.391602,9.34801e-07,2.21658e-07,3.40586e-10,1.05831e-16,1.0005e-11,1.54388e-10,1.1512e-06,2.28392e-11,0.000173244,3.17882e-07
plantain,object,0.0103792,0.294887,8.60134e-05,0.112478,2.36111e-06,1.57065e-08,9.52548e-08,0.403316,8.276e-07,3.09449e-07,1.31637e-09,2.75525e-16,2.01355e-11,1.33402e-10,3.21535e-06,2.95866e-10,0.000254883,7.0154e-07
potato,rgb,0.0832893,0.572121,0.817037,0.181569,0.219293,0.615365,0.994669,0.945547,0.479591,0.898691,0.944454,0.914791,0.975738,0.947661,0.384358,0.855302,0.993634,0.886536
potato,shape,9.33754e-07,0.0220314,0.000109272,0.000196824,4.92036e-07,0.0594747,4.85611e-06,3.655e-05,3.07698e-05,3.11199e-08,0.0891743,4.20538e-12,0.00645268,9.56702e-08,0.201446,0.18184,0.847316,1.51626e-07
potato,object,1.72912e-07,0.00326428,4.47488e-05,4.34972e-05,1.17652e-06,0.0701253,6.17453e-06,4.12727e-05,4.60905e-05,3.46956e-08,0.0898239,4.04433e-12,0.00614814,9.23726e-08,0.202039,0.181484,0.861874,2.0803e-07
potatoe,rgb,0.000381329,0.0271548,0.0287803,0.000571906,0.000673444,0.00156701,0.109063,0.0509749,0.000903907,0.0318838,0.118895,0.0664332,0.0990281,0.019158,0.00421025,0.0766423,0.145964,0.0230467
potatoe,shape,1.59061e-05,0.0110729,6.70629e-08,0.00318356,2.92249e-08,0.000551577,1.79784e-06,9.56898e-05,3.07414e-05,3.20921e-07,0.355085,1.97886e-10,7.03584e-07,8.91781e-09,0.201929,0.000865354,0.00154775,0.00011298
potatoe,object,7.68535e-06,0.00705305,5.04101e-08,0.00124989,3.44911e-08,0.000421423,1.75351e-06,0.000102185,2.81288e-05,2.74305e-07,0.357561,2.42716e-10,7.20801e-07,9.23653e-09,0.20241,0.000806689,0.00173093,0.000102514
purple,rgb,0.992344,0.848675,0.992534,0.928919,0.975338,0.998624,0.918041,0.985676,0.998598,0.989565,0.579226,0.931131,0.866753,0.985334,0.903117,0.588408,0.949572,0.990216
purple,shape,0.138837,1.06432e-05,0.999998,3.79389e-06,2.28362e-10,0.00848277,0.00116129,1.07829e-07,6.5849e-05,0.799755,4.25917e-09,1.15951e-09,3.22875e-06,0.0633765,5.15299e-09,4.17774e-14,0.02925,5.34201e-06
purple,object,0.169909,2.47614e-06,0.999999,5.22068e-06,1.25967e-09,0.0485471,0.000128237,5.54311e-07,0.000771646,0.799859,6.01207e-09,5.80438e-09,2.59203e-06,0.0563698,1.00531e-08,7.88985e-14,0.0172887,4.07476e-05
rectangle,rgb,0.23099,0.0438664,0.172051,0.0594542,0.113474,0.353856,0.0359454,0.139671,0.355255,0.151402,0.0203859,0.0733266,0.0380839,0.115018,0.0524816,0.0246867,0.05497,0.174614
rectangle,shape,0.997557,0.03459,8.60788e-06,0.00787436,0.399802,0.449562,1,0.166079,0.388998,0.595729,3.39825e-05,2.18999e-07,0.000327785,0.00967889,8.24034e-05,0.962776,0.000304466,0.598832
rectangle,object,0.813954,4.51329e-05,2.78543e-06,0.000553313,0.399994,0.84645,1,0.163853,0.578459,0.596053,3.01713e-05,8.23744e-07,6.49458e-05,0.0269795,0.000927046,0.809658,0.000169206,0.559197
rectangleshape,rgb,0.992407,0.00337218,0.00343753,7.59764e-05,0.0138994,0.0676425,5.42976e-11,0.0214043,0.102458,0.00192979,0.00016,0.231731,3.77359e-06,1.32379e-05,0.000319415,0.0166108,4.05557e-08,0.204122
rectangleshape,shape,0.110764,6.45995e-06,8.72295e-07,0.293579,0.336602,0.00206475,0.863017,0.124859,0.0275523,0.00734022,6.7183e-06,1.80224e-05,1.08731e-05,0.000237912,0.00062976,0.734797,0.000139296,0.044121
rectangleshape,object,0.312142,4.45009e-07,1.28478e-06,0.233771,0.294454,0.0251753,0.557579,0.124897,0.127226,0.0028106,2.98131e-06,8.67289e-05,8.40778e-06,0.000247473,0.000658443,0.523593,7.40433e-05,0.118016
rectangular,rgb,0.981666,0.913192,0.877869,0.895645,0.940697,0.937584,0.445776,0.904304,0.944633,0.877813,0.853434,0.934124,0.77388,0.80234,0.901905,0.913034,0.634428,0.93415
rectangular,shape,0.856133,0.00028532,0.00306334,0.0174312,0.0739499,0.00587625,0.999992,0.131261,0.210661,0.220087,5.85028e-08,4.83203e-07,6.00027e-05,0.00165703,1.02877e-05,0.526957,6.36378e-05,0.469929
rectangular,object,0.641512,3.41567e-07,0.000956016,0.00171569,0.0867888,0.0600694,0.99947,0.126917,0.473711,0.269335,7.08815e-09,5.56418e-06,7.11768e-06,0.00863077,3.24273e-06,0.391281,2.48133e-05,0.244796
red,rgb,0.37163,0.6719,0.992043,0.994142,0.957783,0.994464,0.999965,0.9148,0.993426,0.985141,0.523675,0.274287,0.979551,0.998513,0.945884,0.17362,0.999358,0.844217
red,shape,0.589955,0.496986,0.99881,0.186137,1.7227e-07,0.995475,0.564305,0.0303813,0.751661,0.522154,0.241679,0.870744,0.79529,1,1.25913e-06,0.000873765,0.977524,0.584403
red,object,0.146614,0.436438,0.987761,0.130235,0.0228631,0.991538,0.939968,0.000439004,0.222189,0.270923,0.472223,0.715332,0.996395,1,0.000291123,0.017026,0.999781,0.274519
round,rgb,0.00165866,0.0126996,0.0376899,0.00233869,0.002964,0.00954921,0.108032,0.0395574,0.00680572,0.0375029,0.0303732,0.0258004,0.0496697,0.0341581,0.00596858,0.0195034,0.103756,0.0238256
round,shape,0.00248263,0.0316577,0.000138455,4.33052e-07,1.13203e-15,6.50375e-06,3.70016e-09,1.53322e-05,0.000183311,0.0670396,0.00202923,8.2682e-06,8.48675e-07,0.0449344,1.80104e-08,1.02877e-11,0.00987148,0.0352535
round,object,0.00110846,0.210591,0.00072327,2.96046e-06,3.77039e-14,4.7815e-07,3.44964e-08,3.36261e-06,3.43883e-05,0.0132171,0.0060178,7.61739e-06,1.4384e-06,0.0727233,1.9084e-08,2.29112e-10,0.00954072,0.0545575
rounded,rgb,0.185128,0.0168415,0.00876742,0.000424423,0.00593861,0.0157027,3.30749e-05,0.0404593,0.0158322,0.0112897,0.0142551,0.145243,0.00263924,0.00161214,0.00334979,0.0632036,0.000473908,0.0777802
rounded,shape,9.09179e-05,2.06068e-06,1.936e-11,3.95886e-07,1.94456e-10,9.53318e-07,0.00123578,0.000220701,2.75025e-05,0.111194,0.000159111,9.70263e-05,9.9125e-07,1.67459e-06,7.54217e-06,1.49017e-08,0.000240824,4.52583e-05
rounded,object,5.17049e-06,2.05752e-07,2.96056e-12,1.18247e-08,1.23959e-10,1.34821e-05,2.73655e-06,0.000286336,0.000864691,0.0284032,0.000144885,0.000278741,6.87072e-07,8.15479e-07,6.12926e-06,1.08429e-09,9.50531e-05,0.000418111
semicircle,rgb,0.0117275,0.00865967,0.0794318,0.00518741,0.0111004,0.082988,0.0625984,0.0601884,0.0683094,0.0715637,0.00822951,0.0203012,0.0250321,0.0626757,0.00789124,0.00672445,0.0695877,0.0517432
semicircle,shape,0.895687,0.334042,0.000212191,0.222955,0.0519529,7.19003e-06,0.0245538,0.0517263,0.16127,0.33981,5.15712e-05,5.66824e-15,6.49439e-15,7.99214e-09,4.08418e-06,3.73779e-09,0.00522612,0.10757
semicircle,object,0.807658,0.333242,9.66167e-05,0.221151,0.145835,3.16522e-05,0.0264521,0.0391052,0.163526,0.276485,3.92725e-05,1.10865e-15,3.83402e-15,1.19372e-08,8.24941e-06,2.76701e-10,0.0033441,0.0346154
sphere,rgb,0.00166301,0.0115702,0.0344527,0.000792198,0.00167518,0.00766871,0.0409127,0.0461038,0.00517776,0.0350148,0.0268079,0.0356529,0.0354297,0.02121,0.00341932,0.0209983,0.0631825,0.0294187
sphere,shape,0.000183332,0.001212,1.79172e-10,2.99533e-09,1.61807e-14,4.19899e-08,1.49465e-07,3.7998e-06,0.0409607,0.084924,1.40299e-07,2.1173e-06,7.68216e-08,0.002032,2.35228e-08,1.86362e-16,0.0124807,0.00251362
sphere,object,0.000484004,3.20938e-06,1.08978e-10,1.1348e-10,9.20841e-16,5.12927e-06,2.28252e-09,2.42963e-06,0.0567875,0.0373131,1.46038e-08,8.8571e-06,3.77005e-08,0.00329118,2.49158e-09,2.19559e-18,0.00134152,0.0062288
spherical,rgb,0.000716839,0.00931852,0.0419446,0.000438243,0.000894818,0.00638036,0.065507,0.0513753,0.00385109,0.0413112,0.0223801,0.0302215,0.0389542,0.0240856,0.00229638,0.0155032,0.0952691,0.0279564
spherical,shape,2.23125e-06,9.09565e-09,3.07803e-12,5.33897e-13,2.64133e-18,5.82349e-07,1.32362e-10,6.05612e-10,2.05396e-05,1.25049e-05,5.34526e-06,0.333653,1.98798e-05,0.569333,2.3354e-15,3.47607e-18,0.000436291,0.000284801
spherical,object,1.07747e-06,1.9607e-09,4.67437e-12,4.71079e-14,2.92488e-18,1.47125e-06,5.96127e-11,7.10748e-10,2.19117e-05,9.80162e-06,5.29919e-06,0.332676,1.61579e-05,0.573687,8.82892e-16,5.60345e-19,0.000483789,0.000274537
square,rgb,0.015619,0.0689551,0.114899,0.0108575,0.0172123,0.0390163,0.168902,0.150798,0.0301359,0.121049,0.151493,0.14876,0.159511,0.0951122,0.0310271,0.125641,0.208131,0.111025
square,shape,0.109104,0.00437931,0.000736651,0.00977842,0.277393,0.756447,0.668524,0.00956147,5.62874e-05,0.00962721,2.99049e-10,7.64851e-06,2.51002e-05,0.15854,5.27423e-07,0.481522,0.000543235,0.0002161
square,object,0.114002,0.000115179,0.000553874,0.000589753,0.286685,0.776669,0.507191,0.040142,0.000165333,0.00304427,5.4569e-11,1.45551e-05,2.51409e-05,0.160882,2.51151e-07,0.437978,0.000430651,0.00112431
squareshape,rgb,0.000250243,0.02056,0.0212316,0.000629071,0.000583042,0.00114149,0.124776,0.0343954,0.000669275,0.0233613,0.0967106,0.0426103,0.0863698,0.0167466,0.00373193,0.0563666,0.137248,0.0147649
squareshape,shape,0.107694,6.52437e-05,0.00305495,0.000403746,0.180147,0.744117,0.000195098,1.73194e-05,1.53888e-05,1.66217e-05,1.87206e-14,7.94977e-06,7.24894e-05,0.216314,1.42725e-11,0.0582852,0.000122391,0.00152821
squareshape,object,0.0383954,2.86063e-05,0.00473035,7.58466e-05,0.162503,0.738577,0.000217082,2.35938e-05,8.87745e-06,1.78473e-05,4.30845e-14,1.69093e-05,8.90232e-05,0.202921,2.35159e-11,0.111033,0.000135017,0.00202336
tomato,rgb,3.07593e-15,0.0308233,0.000173236,9.92486e-09,2.35726e-12,4.12252e-12,0.997172,0.00181399,1.38546e-13,0.000375523,0.909965,0.00358248,0.805804,0.000164714,1.99508e-05,0.187122,0.98759,6.93895e-06
tomato,shape,1.79778e-05,5.58204e-05,6.71556e-10,0.000516334,6.59414e-09,0.0013988,4.05391e-06,3.48847e-05,0.000267231,3.05579e-07,0.848543,0.00203825,0.773528,1.72969e-06,0.617592,0.0198158,0.999507,8.101e-06
tomato,object,3.55476e-06,8.08372e-05,2.21302e-09,0.000100074,2.01711e-08,0.000341608,4.5643e-05,4.46455e-05,0.000100814,2.31764e-07,0.8453,0.00213864,0.822972,5.5037e-06,0.621833,0.0812099,0.999733,7.40737e-06
triangle,rgb,0.918289,0.906035,0.842413,0.900788,0.899631,0.847294,0.781972,0.860692,0.854541,0.845776,0.901473,0.898452,0.860908,0.829067,0.899272,0.916792,0.808259,0.871729
triangle,shape,0.222048,0.000118932,6.05037e-11,0.011904,6.17515e-21,3.70435e-06,0.0411406,0.000707395,0.112896,0.168305,6.46885e-06,1.06308e-07,7.6425e-10,7.77807e-07,6.15795e-12,3.48148e-23,1.23171e-08,0.980023
triangle,object,0.222088,8.35699e-05,3.79252e-11,0.0192881,1.88614e-20,7.99562e-06,0.0347386,0.00173696,0.137041,0.158844,4.7501e-06,9.19595e-08,7.04189e-10,9.05224e-07,1.27541e-11,8.55906e-23,1.57143e-08,0.984208
triangleshaped,rgb,2.11988e-08,1.80161e-11,0.00779788,9.7711e-05,1.21305e-05,0.867964,0.751263,2.19855e-06,0.832117,0.00123523,2.25977e-14,1.30217e-12,2.9748e-08,0.0819534,2.62877e-08,1.04505e-14,0.00618558,7.6132e-07
triangleshaped,shape,0.00310232,0.000146231,1.10542e-08,1.50136e-05,4.95502e-18,1.82294e-05,0.0267937,5.50327e-06,0.0660219,0.0387247,8.98244e-06,3.11512e-09,1.22408e-08,6.86968e-07,2.11172e-10,2.90589e-19,2.17759e-06,0.617983
triangleshaped,object,0.00174485,7.49372e-05,7.27981e-09,1.48932e-05,4.33925e-17,1.95224e-05,0.0443205,1.05038e-05,0.0867333,0.0300969,5.50454e-06,1.65771e-09,1.23513e-08,8.5239e-07,6.31008e-10,9.15474e-19,4.14193e-06,0.60011
triangular,rgb,0.0116836,0.0206257,0.0800171,0.0146842,0.0179795,0.0577711,0.15457,0.0643502,0.0486131,0.0760698,0.0271289,0.0312766,0.0590967,0.0850633,0.0194115,0.0189905,0.128712,0.0499222
triangular,shape,0.221899,0.00011605,1.00631e-10,0.00661191,1.64775e-20,6.46262e-06,0.0364849,0.000804149,0.0950892,0.141221,1.07469e-05,3.25045e-07,2.92724e-09,1.34368e-06,2.34704e-11,2.37183e-22,3.40101e-08,0.965823
triangular,object,0.221961,8.35868e-05,6.33686e-11,0.0101043,4.92146e-20,1.2544e-05,0.0312962,0.00194365,0.121327,0.13119,7.82486e-06,2.75039e-07,2.62231e-09,1.57656e-06,4.31583e-11,6.17825e-22,4.21027e-08,0.972254
wedge,rgb,0.0759257,0.055967,0.13321,0.0549876,0.0714293,0.155803,0.117854,0.11668,0.147765,0.127632,0.0503496,0.0743951,0.0806403,0.126074,0.0593128,0.0456168,0.120006,0.114203
wedge,shape,0.221974,0.000114211,1.11093e-10,0.0111618,1.61632e-20,3.89505e-06,0.0345384,0.000782238,0.103556,0.153073,7.69483e-06,1.12904e-07,8.93031e-10,7.59447e-07,9.2509e-12,9.643e-23,1.62402e-08,0.975221
wedge,object,0.222042,7.9903e-05,6.74053e-11,0.0172737,4.88546e-20,8.72437e-06,0.027915,0.00188411,0.130959,0.142485,5.44015e-06,9.47999e-08,8.07822e-10,8.68175e-07,1.8555e-11,2.28801e-22,2.05179e-08,0.980484
white,rgb,0.415986,0.2621,0.126792,0.826841,0.535295,0.0742157,0.0346693,0.0118643,0.113326,0.0354963,0.0444713,0.0155841,0.0281921,0.0402258,0.495782,0.0612202,0.0132625,0.0168385
white,shape,4.90256e-10,0.393687,0.13385,0.378495,0.821341,3.04506e-05,9.39349e-07,0.0105723,0.00283138,0.000500605,7.84483e-06,5.00065e-12,3.10688e-10,1.79292e-08,0.0124131,0.23743,1.88821e-07,0.00896248
white,object,6.70042e-10,0.372713,0.122487,0.386058,0.822955,3.7835e-05,1.22462e-06,0.00797931,0.00367721,0.000453731,6.47272e-06,5.1705e-12,3.97501e-10,2.61063e-08,0.0168854,0.195693,2.10251e-07,0.00655134
yellow,rgb,0.448324,0.991671,0.031064,0.759042,0.48647,0.00118848,0.131585,0.265351,0.00139247,0.0832661,0.999423,0.97855,0.932182,0.040144,0.942343,0.999338,0.208535,0.210397
yellow,shape,0.224528,0.399359,7.91116e-19,0.00159037,0.678559,7.98761e-06,2.2544e-07,0.125216,0.00117483,3.86449e-07,0.999937,0.0643162,0.200983,7.56878e-10,1,0.999996,0.000427249,0.000135802
yellow,object,0.217415,0.928281,1.12098e-15,0.00228073,0.766028,6.42786e-08,0.000273672,0.125253,1.72935e-06,2.62785e-06,0.999991,0.0793169,0.204965,7.31536e-09,0.999999,1,0.00161194,1.04619e-05
