,,red arch,green banana arch,cabbage black sphere,orange carrot cylinder,white corn cylinder,red cube,blue cuboid,green cucumber cylinder,green cylinder,black eggplant cylinder,yellow lemon sphere,green lime sphere,orange sphere,purple plum sphere,brown potato sphere,green semicylinder,yellowish red tomato sphere,blue triangle
halfcircle,rgb,5.23354e-11,0.00557815,0.00378685,8.38394e-05,0.00910461,4.32624e-08,0.133011,0.0100658,0.133646,0.00223104,0.000286885,0.155307,0.000261459,7.04942e-06,0.000213438,0.428282,8.08485e-06,0.0389239
halfcircle,shape,0.176229,0.370145,0.144736,0.00011732,0.00209732,0.019842,0.0129156,0.0799474,1.13489e-05,1.56152e-05,1.04632e-09,4.64369e-11,9.58242e-11,1.0147e-06,5.11802e-08,0.366523,4.28613e-05,0.212647
halfcircle,object,0.0220913,0.257379,0.0298685,5.47985e-06,0.000148442,0.000160409,0.442505,0.0209595,0.000151192,1.23644e-05,2.10631e-09,2.09998e-09,1.06776e-09,1.64458e-07,2.98232e-07,0.0621038,1.22677e-05,0.436586
halfcylinder,rgb,9.52752e-08,0.0120228,0.00549518,0.000649135,0.0116719,6.80133e-06,0.0371559,0.015146,0.0766739,0.00513087,0.00282003,0.124157,0.00214557,0.000146542,0.00186079,0.209614,0.000250642,0.0187374
halfcylinder,shape,0.564311,0.6825,3.43641e-09,0.00011201,0.123092,0.000881325,0.20046,0.0120955,0.0660186,1.14845e-06,1.36908e-06,1.30831e-07,7.95329e-08,0.00525137,2.26822e-06,0.14432,0.000360976,0.13364
halfcylinder,object,0.138297,0.428853,1.07871e-10,7.00235e-07,0.0764987,3.66481e-07,0.313686,0.00333835,0.0400613,1.23969e-05,1.74785e-05,5.21382e-06,7.33775e-09,0.000508085,3.53199e-05,0.186165,1.19371e-05,0.413464
halfcylindrical,rgb,0.999894,4.56326e-06,9.94201e-06,1.28794e-05,3.43163e-08,0.876752,7.42533e-10,1.2223e-06,1.75588e-08,9.24922e-06,0.000156886,2.01763e-08,0.000447446,0.00113911,7.70636e-05,1.43037e-08,0.0139962,8.4216e-09
halfcylindrical,shape,0.191821,0.592314,0.980854,0.141713,0.198935,0.0212207,0.00450124,0.0113561,0.000119486,0.152438,4.5463e-05,3.5538e-10,3.18532e-09,0.00178863,0.000649344,0.446364,3.2354e-07,0.00789858
halfcylindrical,object,0.487125,0.398577,0.813176,0.104684,0.148937,0.096924,5.48914e-05,0.00131276,1.29548e-05,0.0245752,2.62811e-05,4.41212e-10,3.55706e-08,0.0018441,0.000168321,0.0681526,2.43611e-06,0.000182268
head,rgb,0.9912,0.135269,0.410996,0.185581,0.0887137,0.941678,0.477307,0.202301,0.074891,0.396876,0.0753661,0.0120573,0.164592,0.691538,0.149736,0.036457,0.391138,0.482319
head,shape,0.00316136,0.000556552,0.999731,0.126896,8.76904e-10,9.86621e-06,1.25884e-05,5.92142e-06,7.94174e-08,1.71735e-07,3.60379e-10,1.94899e-10,1.6365e-10,3.43747e-07,1.94077e-09,4.5408e-07,7.05359e-10,5.82983e-05
head,object,0.00358602,0.000519104,0.999767,0.116308,1.18277e-09,1.43391e-05,1.69661e-05,7.46721e-06,1.00715e-07,2.20628e-07,5.37248e-10,3.96445e-10,2.90593e-10,4.28047e-07,2.72281e-09,5.64926e-07,1.13186e-09,5.0787e-05
hemisphere,rgb,0.0347166,0.0308388,0.0167403,0.00802347,0.00922767,0.0415075,0.00610364,0.0292358,0.0224741,0.0255596,0.0513637,0.0332998,0.0496849,0.0192256,0.0338356,0.0293262,0.0480717,0.00808422
hemisphere,shape,0.0736017,0.613931,2.28473e-06,0.141391,0.200204,0.00259023,0.193386,0.105173,0.306109,0.00104396,2.09299e-05,1.01121e-13,1.53008e-09,0.00213655,0.00193891,0.369827,0.000220233,0.367728
hemisphere,object,0.130768,0.600891,1.53959e-06,0.0555488,0.20019,0.00137386,0.215557,0.0975493,0.286936,0.00273605,1.58699e-05,1.88722e-14,5.76597e-10,0.00074135,0.00441907,0.348232,5.56432e-05,0.381366
isyellow,rgb,3.02154e-06,0.00123851,3.27877e-07,5.24203e-05,1.29047e-05,7.26571e-06,1.60992e-11,2.76439e-05,4.01702e-05,2.21756e-06,0.520316,0.211604,0.0497157,2.33144e-06,0.012661,0.000658851,0.0145224,2.15648e-10
isyellow,shape,0.00732606,0.00524298,9.41125e-13,0.143074,1.41856e-05,1.98471e-09,4.42729e-06,0.000141074,0.00607771,5.51056e-06,9.69425e-06,4.1396e-09,1.14123e-08,1.29088e-09,3.67666e-05,2.78417e-06,6.1472e-06,0.0734648
isyellow,object,0.00247393,0.00557844,1.93236e-12,0.14283,1.65013e-05,2.54429e-09,5.58793e-06,0.000204827,0.00914798,6.16743e-06,1.43172e-05,1.31599e-08,2.30971e-08,1.5082e-09,4.91775e-05,7.16971e-06,7.6939e-06,0.071586
lemon,rgb,5.20257e-09,4.97748e-07,2.09321e-16,7.76576e-25,1.45316e-28,7.77827e-06,2.53977e-42,1.29274e-11,7.04014e-16,4.536e-13,0.993821,6.85154e-06,0.712169,8.74318e-20,1.62182e-06,1.66754e-09,0.260894,1.16453e-36
lemon,shape,1.10361e-06,8.46543e-05,6.80098e-15,1.23957e-05,1.26114e-06,1.58805e-09,2.35476e-06,1.34319e-07,1.42157e-05,0.000590182,0.60325,0.00104126,0.00864158,2.61566e-06,0.153801,0.0028535,0.026125,8.411e-06
lemon,object,1.07869e-06,0.000122315,4.29133e-15,1.71148e-06,2.27099e-06,4.90581e-09,4.2508e-07,4.56085e-07,2.16185e-05,0.00056977,0.626883,0.00300742,0.0158391,1.54487e-06,0.16373,0.00887365,0.0412967,2.58602e-06
lime,rgb,8.45765e-41,0.0378139,1.4386e-11,9.61529e-37,3.73884e-26,1.08264e-24,6.46244e-26,0.00044949,0.00165843,4.65305e-08,0.00137331,0.996024,0.0104057,5.11462e-29,2.58167e-11,0.999982,1.22688e-11,2.75001e-24
lime,shape,0.000924257,0.00310817,0.176571,2.85336e-06,6.0743e-08,5.04582e-05,4.40231e-05,1.87166e-06,5.07235e-06,1.64344e-07,0.000196578,0.999976,0.444587,0.384566,1.81748e-06,1.06348e-06,0.00048739,1.26241e-05
lime,object,0.000799713,0.00394508,0.10375,3.39829e-07,3.73218e-08,0.000109097,1.67559e-05,3.60998e-06,9.64028e-06,3.13646e-07,0.000993242,0.999985,0.578146,0.354524,5.20956e-06,3.36543e-06,0.00158509,5.11613e-06
orange,rgb,0.999909,0.581469,0.549933,0.998836,0.928818,0.991984,0.0394716,0.225154,0.132764,0.346474,0.959932,0.522932,0.898465,0.978772,0.956803,0.0644647,0.981086,0.0929258
orange,shape,5.20738e-05,0.0374291,3.22237e-07,0.679092,3.91035e-09,0.000493372,1.301e-05,4.24646e-06,7.1855e-07,0.00114425,0.121326,2.22292e-05,0.591203,2.48412e-06,6.97549e-05,5.80578e-06,0.150672,0.000719422
orange,object,0.000589029,0.115078,3.42648e-06,0.720173,8.55838e-09,0.000958202,4.98729e-06,2.22489e-06,2.5116e-07,0.000448378,0.0915437,1.99003e-05,0.619868,1.13037e-05,3.31399e-05,1.24826e-06,0.169723,0.000575622
potato,rgb,0.999778,0.822888,0.9211,0.992448,0.940327,0.996166,0.814409,0.765572,0.612586,0.870136,0.907582,0.560338,0.910393,0.988505,0.940317,0.412562,0.973534,0.854834
potato,shape,5.80735e-07,0.404963,3.94507e-08,0.000306234,0.39841,3.77188e-13,2.49688e-07,0.00488006,3.37692e-07,8.23955e-14,0.255547,3.13869e-19,8.84477e-06,7.65687e-14,0.49477,1.07074e-08,0.10035,3.73908e-07
potato,object,3.01405e-07,0.401749,2.2599e-08,0.000221011,0.422727,6.66793e-13,3.77688e-07,0.00519149,3.95355e-07,6.17538e-14,0.257673,1.90954e-19,5.93171e-06,7.61415e-14,0.522302,1.44155e-08,0.116982,3.34163e-07
purple,rgb,0.951595,0.972861,0.99047,0.925782,0.966796,0.976732,0.998789,0.988956,0.988583,0.991116,0.894396,0.941494,0.941962,0.979056,0.939443,0.98575,0.936964,0.998013
purple,shape,0.333708,0.00131397,0.925972,0.142663,1.61656e-19,0.000121419,7.18346e-07,4.29853e-08,3.01103e-07,0.993466,1.76994e-06,5.86644e-05,0.00287549,0.537987,0.00251406,3.60223e-07,1.22627e-08,3.39515e-06
purple,object,0.331573,0.00113061,0.869534,0.141734,4.58991e-19,2.65314e-05,6.13979e-06,1.3345e-07,6.12337e-07,0.996362,2.07637e-06,0.000119061,0.00232845,0.432335,0.00174431,3.19198e-06,1.59003e-08,6.04285e-06
rectangle,rgb,0.0580696,0.0734685,0.0659557,0.0145126,0.0243755,0.0900275,0.0564209,0.0914534,0.0733917,0.0906414,0.0626586,0.0558722,0.0771405,0.0499748,0.0545851,0.0849393,0.0717317,0.0592211
rectangle,shape,0.677101,0.411161,0.191426,0.003112,7.66412e-13,0.00837045,0.985125,8.91357e-05,0.000748268,0.00444002,4.8312e-06,4.352e-08,5.33028e-08,0.000249161,7.13195e-08,0.000124457,1.33481e-05,0.0281974
rectangle,object,0.879169,0.212278,0.168864,0.000449142,3.18224e-13,0.0146431,0.970708,9.77509e-05,0.000505947,0.0017198,4.41848e-06,6.98837e-08,1.02595e-07,0.000126261,1.44003e-07,5.61443e-05,2.1369e-05,0.00511387
rectangleshape,rgb,0.0138351,0.0647801,0.0294937,0.00151598,0.00460464,0.0466295,0.00720341,0.0740608,0.0511929,0.0588323,0.0780962,0.0638353,0.0906263,0.0131438,0.0389007,0.0925249,0.0640987,0.00984955
rectangleshape,shape,0.00154501,0.00169721,0.208004,2.4389e-07,3.50223e-13,0.868976,0.807519,0.000515089,4.96945e-07,1.04984e-05,5.40469e-06,3.92398e-08,1.08825e-05,5.9911e-05,1.04829e-05,3.53957e-06,5.09565e-06,4.34955e-05
rectangleshape,object,1.84744e-05,0.00209699,0.240726,2.93955e-08,5.2172e-13,0.605545,0.995374,0.000372704,3.0596e-06,5.35564e-06,1.98387e-06,2.72589e-08,1.56767e-06,1.52534e-05,1.66146e-06,4.3058e-05,1.41265e-06,0.000470395
rectangular,rgb,0.938165,0.963045,0.939805,0.921161,0.930828,0.952937,0.911636,0.961259,0.959825,0.954472,0.972291,0.970974,0.970033,0.941697,0.96373,0.967117,0.966159,0.921652
rectangular,shape,0.251684,0.000478597,0.200178,0.143705,2.14262e-11,0.83407,0.999925,0.00846606,0.177364,0.048929,0.0622838,4.08392e-05,1.30407e-05,0.00196242,0.00116071,0.138412,0.09109,0.62377
rectangular,object,0.189047,9.76026e-05,0.200094,0.144348,3.82357e-10,0.762871,0.999994,0.00580435,0.177146,0.0538977,0.0417537,2.99803e-05,4.71852e-06,0.00247768,0.00101913,0.146423,0.0660201,0.751547
red,rgb,0.999987,0.953658,0.988673,0.969558,0.905379,0.999885,0.997177,0.984956,0.942461,0.993615,0.929022,0.586208,0.975667,0.998726,0.971295,0.845641,0.993791,0.997129
red,shape,0.500104,0.8,1,0.414713,7.60137e-10,0.238764,0.0170067,0.00311625,0.842529,0.772682,0.732241,0.9823,0.927736,1,0.592547,0.44195,0.895509,0.589873
red,object,0.833099,0.799991,1,0.287197,2.78869e-09,0.639296,0.000178751,0.000258808,0.807385,0.702847,0.8982,0.999955,0.996609,1,0.798524,0.185651,0.999861,0.524779
round,rgb,0.0857011,0.036969,0.0247831,0.00332584,0.004646,0.103169,0.00585721,0.0399266,0.0219777,0.0407969,0.0521539,0.0225981,0.0637692,0.0233611,0.0331098,0.0294993,0.0692444,0.00838351
round,shape,0.0379907,0.00242811,0.0193386,5.26941e-05,2.89998e-13,1.30116e-10,3.89302e-11,4.83476e-08,0.00162946,3.78869e-05,2.91957e-05,4.85123e-06,8.77452e-07,4.0061e-05,4.80155e-09,2.29797e-08,0.000586243,5.14809e-05
round,object,0.102689,0.00196825,0.0246951,2.10852e-05,6.19289e-13,3.16654e-10,9.15144e-12,5.93332e-08,0.000833936,3.26122e-05,2.32719e-05,5.68743e-06,1.32924e-06,4.061e-05,4.64257e-09,1.44479e-08,0.000565168,1.14562e-05
rounded,rgb,0.00899272,0.0286846,0.00490645,0.000266471,0.000552215,0.0278746,0.000125125,0.0215043,0.0108194,0.0136929,0.108272,0.0420302,0.0946505,0.00289782,0.0265744,0.0304892,0.0673928,0.000293849
rounded,shape,6.1398e-07,0.00025917,1.73763e-11,0.142647,2.44031e-10,2.09016e-09,6.0404e-05,4.67963e-06,5.33472e-06,0.000200468,0.000791232,1.53417e-06,6.8065e-07,1.64059e-07,5.10007e-07,4.39386e-07,7.38298e-05,4.04694e-05
rounded,object,8.45963e-06,0.000145374,7.38928e-12,0.0128055,4.44205e-10,1.69648e-08,9.89745e-07,9.28747e-06,1.59769e-06,7.53984e-05,0.000711451,1.89397e-06,5.0818e-06,6.15291e-08,1.65845e-06,3.35769e-06,7.60988e-05,2.63545e-06
semicircle,rgb,0.00891239,0.0645643,0.0344835,0.0104856,0.0219433,0.0238739,0.0262985,0.0699784,0.0737649,0.0527623,0.0692523,0.0960847,0.0673012,0.0207953,0.047498,0.106943,0.045831,0.0282687
semicircle,shape,0.833108,0.664663,0.000569222,0.142594,0.200088,0.00444548,0.283034,0.135093,1.84254e-05,0.000949782,3.17783e-08,6.66627e-13,2.73752e-09,3.44264e-05,2.13907e-05,0.658254,2.86862e-05,0.0903885
semicircle,object,0.756663,0.612487,0.00037019,0.125798,0.200211,0.00101632,0.415764,0.127113,1.23027e-05,0.00464072,3.36869e-08,4.14476e-14,3.36283e-10,1.89987e-05,9.79496e-05,0.585905,4.99848e-06,0.126644
sphere,rgb,0.0378316,0.0371222,0.0292291,0.00257205,0.00509908,0.065193,0.0124427,0.0459841,0.0288112,0.0466628,0.0349776,0.0223057,0.0468502,0.0192595,0.0249458,0.0382825,0.0445902,0.0151654
sphere,shape,1.18704e-05,0.187242,1.31097e-09,0.09235,1.53497e-10,1.37367e-08,5.1335e-10,1.16295e-06,0.00309425,9.40277e-06,0.000175736,4.48312e-08,6.81054e-08,0.00402368,6.98462e-05,0.000161011,0.231829,0.177887
sphere,object,7.4132e-07,0.0725322,1.38867e-10,0.00571024,6.28705e-11,3.69246e-09,6.6128e-09,7.87391e-07,0.00556983,0.000844071,0.000188815,1.61649e-08,3.2206e-08,0.0038614,0.000164011,0.000135677,0.154299,0.190441
spherical,rgb,0.0388707,0.0435299,0.0304366,0.00109885,0.00270183,0.0828448,0.00725901,0.0528742,0.0280389,0.0538248,0.0413819,0.0221113,0.0592618,0.01536,0.0246478,0.0432464,0.0543846,0.00985888
spherical,shape,2.9283e-05,0.0219478,7.32008e-11,1.56288e-07,1.05821e-15,2.52117e-09,7.51222e-12,6.02651e-10,0.000128325,1.5986e-05,2.08319e-07,7.34217e-06,0.0007912,0.229933,2.35649e-12,1.39591e-11,1.1718e-06,0.000154741
spherical,object,0.000226216,0.00778908,8.59451e-11,1.04522e-08,7.79778e-16,7.71555e-09,2.31525e-12,3.50979e-10,3.29054e-05,9.34122e-06,1.54446e-07,5.82676e-06,0.000517376,0.251336,2.58181e-12,6.82216e-12,1.92834e-06,6.30108e-05
square,rgb,8.76837e-15,0.106253,0.0709783,3.97346e-05,0.104887,6.73199e-10,0.989186,0.360002,0.976737,0.0451299,0.000502284,0.959956,0.000878425,2.09336e-06,0.000370521,0.995884,2.0038e-06,0.880981
square,shape,0.209153,0.0187564,0.000575966,0.00547996,1.80697e-12,0.998468,0.0663464,0.000286304,3.69854e-05,1.20001e-05,1.32327e-07,0.000100967,0.103272,0.000393723,3.64822e-07,1.9534e-09,7.22171e-05,0.00649878
square,object,5.61417e-05,0.0114215,0.00439555,0.000192315,1.5273e-12,0.849103,0.570247,0.00090832,0.00118029,4.52249e-05,7.73916e-08,0.000143015,0.00392811,0.000109512,1.45876e-07,1.3449e-07,5.37805e-06,0.0580158
squareshape,rgb,1.36276e-31,0.000309781,7.21432e-08,7.02235e-15,3.30232e-07,1.23414e-21,9.98441e-05,0.00153034,0.816219,1.20153e-06,1.43731e-06,0.997963,1.41936e-06,5.24036e-16,1.49613e-08,0.999014,1.94e-12,8.25074e-06
squareshape,shape,0.000157373,0.00468196,0.0297684,1.23793e-05,1.02416e-08,0.72327,0.000760825,4.37571e-05,7.62918e-06,1.65172e-06,1.44236e-08,6.82305e-06,5.70474e-05,0.00090926,3.66003e-06,2.26278e-08,4.73337e-07,9.91612e-05
squareshape,object,4.16575e-06,0.00484542,0.0153238,3.94338e-06,4.42394e-09,0.427145,0.00167017,6.70994e-05,1.36008e-05,2.89647e-06,3.65752e-08,3.13316e-05,9.14743e-05,0.000168754,4.14531e-06,2.48316e-07,6.28778e-07,0.000170808
tomato,rgb,2.41732e-10,0.39982,1.34309e-06,1.36897e-29,1.63751e-28,0.0648454,2.30791e-32,0.0354175,3.89489e-07,0.00720941,0.999959,0.20255,0.999979,4.07314e-18,0.000862573,0.396583,0.991939,6.8771e-28
tomato,shape,1.00575e-05,0.575639,1.99338e-13,0.00264846,2.75793e-09,4.66569e-09,2.69669e-07,3.36227e-06,7.03626e-06,1.92625e-07,0.99993,6.0498e-10,0.0376806,4.53902e-08,0.868665,2.01678e-05,0.999916,0.000820378
tomato,object,0.00032997,0.56259,1.40964e-12,0.0013152,8.1472e-09,1.37984e-07,6.90105e-08,6.30679e-06,1.34907e-05,2.7447e-07,0.99993,7.40205e-09,0.0863151,2.72829e-07,0.901103,2.30543e-05,0.999956,0.000311083
triangle,rgb,0.516534,0.924518,0.520974,0.159106,0.332022,0.831154,0.0958357,0.92109,0.894443,0.81616,0.984376,0.977088,0.978361,0.536021,0.935185,0.961862,0.960449,0.177336
triangle,shape,0.266225,0.167337,3.22098e-09,0.142773,2.56643e-17,1.00553e-11,0.0201491,7.73674e-08,0.0327441,6.07694e-05,6.92373e-09,4.95923e-09,6.19412e-08,7.09075e-08,7.42305e-08,3.23693e-07,4.41133e-09,0.774847
triangle,object,0.273583,0.16707,7.8409e-10,0.140993,2.12562e-17,4.93817e-11,0.00317585,1.08027e-07,0.0346275,3.18745e-05,8.81572e-09,8.13305e-09,9.05709e-08,9.66728e-08,1.04789e-07,5.49927e-07,9.39482e-09,0.764502
triangleshaped,rgb,0.999998,7.92652e-05,0.00104667,3.04753e-05,1.57427e-07,0.997541,3.3036e-07,2.99733e-05,2.31808e-07,0.000582061,0.00014414,1.67467e-08,0.0012427,0.0279486,0.000199285,1.48079e-07,0.0628428,2.1448e-06
triangleshaped,shape,0.0111746,0.159434,0.0923042,0.0197867,4.8139e-11,1.33166e-06,0.00168277,2.5562e-06,0.170081,0.000277452,0.000132001,1.21428e-05,8.56445e-05,0.000417739,0.00013324,3.76049e-05,0.000244345,0.336294
triangleshaped,object,0.0525126,0.124501,0.0273434,0.00764911,1.14495e-10,7.49103e-06,0.000479535,3.40637e-06,0.0937167,0.000160674,0.000138768,5.75057e-06,8.75472e-05,0.000485625,0.000158353,2.43048e-05,0.000395465,0.264557
triangular,rgb,0.0229451,0.109455,0.0308322,0.000452043,0.00153471,0.100644,0.00126597,0.105635,0.0519823,0.0786043,0.200992,0.101891,0.224948,0.00993251,0.0628981,0.133368,0.157585,0.00251869
triangular,shape,0.250602,0.160649,4.93233e-09,0.142761,3.44989e-17,2.11495e-11,0.0165395,8.87216e-08,0.0313953,6.03366e-05,2.27517e-08,1.60305e-08,1.41407e-07,1.28762e-07,1.50936e-07,4.07668e-07,1.10519e-08,0.773692
triangular,object,0.25693,0.160288,1.11156e-09,0.140862,2.63547e-17,9.12231e-11,0.00254757,1.19372e-07,0.0330189,3.21489e-05,2.86229e-08,2.36545e-08,1.94363e-07,1.59033e-07,2.12803e-07,6.82564e-07,2.15253e-08,0.759644
wedge,rgb,0.0245914,0.105658,0.0267581,0.00102886,0.00279387,0.0874641,0.00140621,0.0968515,0.0548085,0.0670307,0.235961,0.131369,0.233949,0.0124357,0.0793171,0.131445,0.167429,0.0027518
wedge,shape,0.260004,0.161369,5.85332e-09,0.142633,5.84968e-17,2.24445e-11,0.0171689,9.92995e-08,0.0298042,5.92229e-05,1.85498e-08,1.71964e-08,1.55038e-07,1.29308e-07,1.5329e-07,4.90198e-07,1.01594e-08,0.773317
wedge,object,0.267012,0.161026,1.3747e-09,0.140374,5.01161e-17,1.00643e-10,0.00264547,1.36736e-07,0.03139,3.20495e-05,2.27273e-08,2.4547e-08,2.07796e-07,1.62947e-07,2.09551e-07,8.08518e-07,1.98636e-08,0.758171
white,rgb,0.271941,0.0621038,0.310048,0.859544,0.593068,0.0611862,0.396451,0.0295892,0.0478711,0.0751329,0.0294903,0.0375203,0.0239359,0.252601,0.0742881,0.0219364,0.03905,0.307812
white,shape,1.30087e-05,0.00340672,2.18916e-09,0.41268,0.999857,3.33916e-08,3.26894e-06,0.000127069,1.74208e-05,0.656076,0.00363024,6.76347e-11,0.000101506,6.66546e-10,5.83733e-05,0.00588699,6.88862e-07,1.23432e-06
white,object,3.34513e-05,0.00339916,2.51655e-09,0.410986,0.999858,5.29668e-08,1.8732e-06,0.000126278,1.23836e-05,0.647879,0.00411136,6.58352e-11,0.00012126,7.78977e-10,5.85737e-05,0.00401131,8.10954e-07,1.03933e-06
yellow,rgb,0.357239,0.515778,0.0665781,0.865948,0.523418,0.173004,0.000309369,0.115151,0.154418,0.0594308,0.979402,0.943863,0.884353,0.186332,0.887527,0.309626,0.866394,0.00105588
yellow,shape,0.166707,9.74472e-05,2.09251e-18,0.161533,0.999378,0.000151545,0.183331,4.76418e-06,0.0161659,2.17159e-07,0.237006,0.0564028,1.59153e-12,0.000404052,0.786893,0.0275565,0.034553,0.148193
yellow,object,0.181179,0.000629615,1.65498e-16,0.248172,0.998967,0.000506136,0.000395889,4.79602e-06,0.00652036,2.18769e-08,0.392139,0.0717084,3.49652e-11,0.00023975,0.740927,0.100636,0.0816504,8.23679e-05
